frame_id,total_correspondences,inlier_count,inlier_ratio,mean_error,median_error
0011_to_template,293,54,0.18430034129692832,0.028786195442080498,0.028869980946183205
0010_to_0011,499,346,0.6933867735470942,0.016684826463460922,0.013833675533533096
0009_to_0010,200,161,0.805,0.009934398345649242,0.008232754655182362
0008_to_0009,338,321,0.9497041420118343,0.011932916939258575,0.011567381210625172
0007_to_0008,180,162,0.9,0.012820249423384666,0.012200170196592808
0006_to_0007,380,361,0.95,0.007389828097075224,0.005703967995941639
0005_to_0006,428,401,0.9369158878504673,0.005300990305840969,0.0036006656009703875
0004_to_0005,330,312,0.9454545454545454,0.008046580478549004,0.006756836548447609
0003_to_0004,299,272,0.9096989966555183,0.009905373677611351,0.0077287983149290085
0002_to_0003,285,273,0.9578947368421052,0.009516672231256962,0.007861489430069923
0001_to_0002,284,268,0.9436619718309859,0.014561908319592476,0.012883538380265236
0000_to_0001,284,260,0.9154929577464789,0.017479410395026207,0.01659638062119484
